cell_id,x,y,last_observed,age,overdue,grid_row,grid_col
cell_000_000,20.0,20.0,2902.0,578.0,True,0,0
cell_000_001,60.0,20.0,2895.0,585.0,True,0,1
cell_000_002,100.0,20.0,2888.0,592.0,True,0,2
cell_000_003,140.0,20.0,3443.0,37.0,False,0,3
cell_000_004,180.0,20.0,3450.0,30.0,False,0,4
cell_000_005,220.0,20.0,3450.0,30.0,False,0,5
cell_000_006,260.0,20.0,3480.0,0.0,False,0,6
cell_000_007,300.0,20.0,3480.0,0.0,False,0,7
cell_000_008,340.0,20.0,3334.0,146.0,False,0,8
cell_000_009,380.0,20.0,3329.0,151.0,False,0,9
cell_000_010,420.0,20.0,3322.0,158.0,False,0,10
cell_000_011,460.0,20.0,1372.0,2108.0,True,0,11
cell_001_000,20.0,60.0,3285.0,195.0,True,1,0
cell_001_001,60.0,60.0,3277.0,203.0,True,1,1
cell_001_002,100.0,60.0,3418.0,62.0,False,1,2
cell_001_003,140.0,60.0,3464.0,16.0,False,1,3
cell_001_004,180.0,60.0,3458.0,22.0,False,1,4
cell_001_005,220.0,60.0,3456.0,24.0,False,1,5
cell_001_006,260.0,60.0,3439.0,41.0,False,1,6
cell_001_007,300.0,60.0,3479.0,1.0,False,1,7
cell_001_008,340.0,60.0,3473.0,7.0,False,1,8
cell_001_009,380.0,60.0,3480.0,0.0,False,1,9
cell_001_010,420.0,60.0,3476.0,4.0,False,1,10
cell_001_011,460.0,60.0,1364.0,2116.0,True,1,11
cell_002_000,20.0,100.0,3351.0,129.0,False,2,0
cell_002_001,60.0,100.0,3384.0,96.0,False,2,1
cell_002_002,100.0,100.0,3476.0,4.0,False,2,2
cell_002_003,140.0,100.0,3480.0,0.0,False,2,3
cell_002_004,180.0,100.0,3465.0,15.0,False,2,4
cell_002_005,220.0,100.0,3459.0,21.0,False,2,5
cell_002_006,260.0,100.0,3434.0,46.0,False,2,6
cell_002_007,300.0,100.0,3428.0,52.0,False,2,7
cell_002_008,340.0,100.0,3469.0,11.0,False,2,8
cell_002_009,380.0,100.0,3480.0,0.0,False,2,9
cell_002_010,420.0,100.0,3478.0,2.0,False,2,10
cell_002_011,460.0,100.0,3472.0,8.0,False,2,11
cell_003_000,20.0,140.0,3408.0,72.0,False,3,0
cell_003_001,60.0,140.0,3399.0,81.0,False,3,1
cell_003_002,100.0,140.0,3431.0,49.0,False,3,2
cell_003_003,140.0,140.0,3480.0,0.0,False,3,3
cell_003_004,180.0,140.0,3471.0,9.0,False,3,4
cell_003_005,220.0,140.0,3455.0,25.0,False,3,5
cell_003_006,260.0,140.0,3449.0,31.0,False,3,6
cell_003_007,300.0,140.0,3442.0,38.0,False,3,7
cell_003_008,340.0,140.0,3435.0,45.0,False,3,8
cell_003_009,380.0,140.0,3459.0,21.0,False,3,9
cell_003_010,420.0,140.0,3455.0,25.0,False,3,10
cell_003_011,460.0,140.0,3464.0,16.0,False,3,11
cell_004_000,20.0,180.0,3464.0,16.0,False,4,0
cell_004_001,60.0,180.0,3480.0,0.0,False,4,1
cell_004_002,100.0,180.0,3479.0,1.0,False,4,2
cell_004_003,140.0,180.0,3480.0,0.0,False,4,3
cell_004_004,180.0,180.0,3476.0,4.0,False,4,4
cell_004_005,220.0,180.0,3465.0,15.0,False,4,5
cell_004_006,260.0,180.0,3321.0,159.0,False,4,6
cell_004_007,300.0,180.0,3440.0,40.0,False,4,7
cell_004_008,340.0,180.0,3439.0,41.0,False,4,8
cell_004_009,380.0,180.0,3428.0,52.0,False,4,9
cell_004_010,420.0,180.0,3449.0,31.0,False,4,10
cell_004_011,460.0,180.0,3457.0,23.0,False,4,11
cell_005_000,20.0,220.0,3470.0,10.0,False,5,0
cell_005_001,60.0,220.0,3479.0,1.0,False,5,1
cell_005_002,100.0,220.0,3478.0,2.0,False,5,2
cell_005_003,140.0,220.0,3480.0,0.0,False,5,3
cell_005_004,180.0,220.0,3455.0,25.0,False,5,4
cell_005_005,220.0,220.0,3472.0,8.0,False,5,5
cell_005_006,260.0,220.0,3325.0,155.0,False,5,6
cell_005_007,300.0,220.0,3447.0,33.0,False,5,7
cell_005_008,340.0,220.0,3447.0,33.0,False,5,8
cell_005_009,380.0,220.0,3344.0,136.0,False,5,9
cell_005_010,420.0,220.0,3442.0,38.0,False,5,10
cell_005_011,460.0,220.0,3450.0,30.0,False,5,11
cell_006_000,20.0,260.0,3480.0,0.0,False,6,0
cell_006_001,60.0,260.0,3480.0,0.0,False,6,1
cell_006_002,100.0,260.0,3480.0,0.0,False,6,2
cell_006_003,140.0,260.0,3468.0,12.0,False,6,3
cell_006_004,180.0,260.0,3461.0,19.0,False,6,4
cell_006_005,220.0,260.0,3479.0,1.0,False,6,5
cell_006_006,260.0,260.0,3475.0,5.0,False,6,6
cell_006_007,300.0,260.0,3480.0,0.0,False,6,7
cell_006_008,340.0,260.0,3454.0,26.0,False,6,8
cell_006_009,380.0,260.0,3399.0,81.0,False,6,9
cell_006_010,420.0,260.0,3435.0,45.0,False,6,10
cell_006_011,460.0,260.0,3444.0,36.0,False,6,11
cell_007_000,20.0,300.0,3480.0,0.0,False,7,0
cell_007_001,60.0,300.0,3441.0,39.0,False,7,1
cell_007_002,100.0,300.0,3447.0,33.0,False,7,2
cell_007_003,140.0,300.0,3460.0,20.0,False,7,3
cell_007_004,180.0,300.0,3459.0,21.0,False,7,4
cell_007_005,220.0,300.0,3480.0,0.0,False,7,5
cell_007_006,260.0,300.0,3476.0,4.0,False,7,6
cell_007_007,300.0,300.0,3480.0,0.0,False,7,7
cell_007_008,340.0,300.0,3474.0,6.0,False,7,8
cell_007_009,380.0,300.0,3455.0,25.0,False,7,9
cell_007_010,420.0,300.0,3463.0,17.0,False,7,10
cell_007_011,460.0,300.0,3470.0,10.0,False,7,11
cell_008_000,20.0,340.0,3444.0,36.0,False,8,0
cell_008_001,60.0,340.0,3424.0,56.0,False,8,1
cell_008_002,100.0,340.0,3319.0,161.0,False,8,2
cell_008_003,140.0,340.0,3466.0,14.0,False,8,3
cell_008_004,180.0,340.0,3474.0,6.0,False,8,4
cell_008_005,220.0,340.0,3480.0,0.0,False,8,5
cell_008_006,260.0,340.0,3480.0,0.0,False,8,6
cell_008_007,300.0,340.0,3480.0,0.0,False,8,7
cell_008_008,340.0,340.0,3473.0,7.0,False,8,8
